entry_time,exit_time,direction,strike_price,entry_price_cents,exit_price_cents,bet_size,contracts,pnl_dollars,pnl_pct,exit_reason,momentum_at_entry,confidence_at_entry,edge_at_entry,btc_price_at_entry,hold_candles,peak_pnl_pct
2018-11-05T00:45:00,2018-11-05T00:45:00,NO,6477.56,50.0,35.0,14.06,28,-4.2,-30.0,stop_loss,0.0638,0.216,0.105,6477.56,1,0.0
2018-11-05T00:45:00,2018-11-05T00:45:00,NO,6445.17,5.0,0.0,14.06,281,-14.05,-100.0,expired,0.0638,0.216,0.555,6477.56,1,0.0
2018-11-14T21:30:00,2018-11-14T21:30:00,YES,5884.95,27.57,41.36,12.5,45,6.2038,50.0,take_profit,0.6007,0.216,0.3913,5855.67,1,50.0
2018-11-14T21:30:00,2018-11-14T21:30:00,YES,5855.67,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.6007,0.216,0.167,5855.67,1,50.0
2018-11-14T23:00:00,2018-11-14T23:00:00,YES,5823.26,26.01,39.01,12.5,48,6.2417,50.0,take_profit,0.4909,0.216,0.4069,5794.29,1,50.0
2018-11-14T23:00:00,2018-11-14T23:00:00,YES,5794.29,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.4909,0.216,0.167,5794.29,1,50.0
2018-11-15T13:45:00,2018-11-15T13:45:00,YES,5634.01,26.12,16.98,25.0,95,-8.6862,-35.0,stop_loss,0.1316,0.2,0.3638,5605.98,1,0.0
2018-11-15T13:45:00,2018-11-15T13:45:00,YES,5605.98,50.0,32.5,25.0,50,-8.75,-35.0,stop_loss,0.1316,0.2,0.125,5605.98,1,0.0
2018-11-19T10:30:00,2018-11-19T10:30:00,YES,5385.39,28.58,18.58,12.5,43,-4.3018,-35.0,stop_loss,0.3835,0.216,0.3812,5358.6,1,0.0
2018-11-19T10:30:00,2018-11-19T10:30:00,YES,5358.6,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,0.3835,0.216,0.167,5358.6,1,0.0
